id,title,titleFa,anchorWork,director,year,placeType,address,area,lat,lng,routeOrder,routeChapter,timelineChapter,cityLens,matchLevel,cameraOrientation,movieShotImage,realLocationImage
loc_banoo_music_museum_tehran,Cyrus Samrad Mansion / Iran Music Museum,عمارت سیروس سمراد / موزه موسیقی ایران,Banoo,Dariush Mehrjui,1991,Historic house / museum / cultural building,"Tehran, Tajrish Square, Shahid Ebrahim Darbandi Street, Museum Street, Niloofar Alley, No. 9",Tajrish / Darbandi area,35.8119,51.4259,14,Northern Afterimages,1990s: Cinema reflects on reality and memory,Homes & private worlds,Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/banoo/film_still_01.jpg,assets/images/locations/banoo/current_01.jpg
loc_tehran_roozegare_no_toopkhaneh_square,"Toopkhaneh Square, Tehran",میدان توپخانه تهران,Tehran Roozegare No,Ali Hatami,1999,Historic urban square,میدان امام خمینی فعلی، مرکز تهران، ایران,Central Tehran,35.6869,51.4211,8,Lalehzar & Toopkhaneh,1990s: Cinema reflects on reality and memory,"Streets, hotels & encounters",Approximate Area,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/tehran_roozegare_no/toopkhaneh_square_film_still.jpg,assets/images/locations/tehran_roozegare_no/toopkhaneh_square_today.jpg
loc_tehran_roozegare_no_grand_hotel_lalehzar,Grand Hotel Tehran,گرند هتل تهران,Tehran Roozegare No,Ali Hatami,1999,Historic hotel / heritage building / urban landmark,"Tehran Province, Tehran, Lalehzar Jonubi Street, Barbod Alley, MCOC+WXM, Iran","Lalehzar, Central Tehran",35.6898368,51.4224124,4,Lalehzar & Toopkhaneh,1990s: Cinema reflects on reality and memory,"Streets, hotels & encounters",Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/tehran-roozegare-no/grand-hotel-lalehzar-film.jpg,assets/images/locations/tehran-roozegare-no/grand-hotel-lalehzar-current.jpg
loc_shabhaye_roshan_ferdowsi_square,"Ferdowsi Square, Tehran",میدان فردوسی تهران,White Nights,Farzad Motamen,2003,Urban square / public landmark,"Ferdowsi Square, Ferdowsi Street and Enghelab Street area, Tehran, Iran","Central Tehran, around Ferdowsi Street and Enghelab Street",35.7019,51.419,2,Revolution Avenue & Ferdowsi,2000s–2010s: The contemporary city under pressure,"Streets, hotels & encounters",Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/shabhaye-roshan/ferdowsi-square-film.jpg,assets/images/locations/shabhaye-roshan/ferdowsi-square-current.jpg
loc_shabhaye_roshan_cinema_theater_faculty,Cinema and Theater Faculty of Tehran Art University,دانشکده سینما و تئاتر دانشگاه هنر تهران,White Nights,Farzad Motamen,2003,University faculty / cultural and educational building,"PC5H+MCJ, District 7, Tehran, Tehran Province, Iran","District 7, central-northern Tehran",35.7092036,51.4285301,3,Revolution Avenue & Ferdowsi,2000s–2010s: The contemporary city under pressure,Institutions & pressure,Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/shabhaye-roshan/cinema-theater-faculty-film.jpg,assets/images/locations/shabhaye-roshan/cinema-theater-faculty-current.jpg
loc_shabhaye_roshan_ferdowsi_grand_hotel,Ferdowsi Grand Hotel Tehran,هتل بزرگ فردوسی تهران,White Nights,Farzad Motamen,2003,Hotel / urban cultural landmark,"Tehran Province, Tehran, Kooshk-e Mesri Street, Beginning of Ferdowsi Avenue, near Imam Khomeini Square","Central Tehran, near Imam Khomeini Square",35.6882733,51.4196485,7,Lalehzar & Toopkhaneh,2000s–2010s: The contemporary city under pressure,"Streets, hotels & encounters",Exact Angle,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/shabhaye-roshan/ferdowsi-grand-hotel-film.jpg,assets/images/locations/shabhaye-roshan/ferdowsi-grand-hotel-current.jpg
loc_shatranj_baad_moshir_od_dowleh_mansion,Moshir od-Dowleh Mansion (Pirnia House),عمارت مشیرالدوله (خانه پیرنیا),Chess of the Wind,محمدرضا اصلانی,1976,Historic mansion / Qajar house / heritage building,تهران، خیابان منوچهری، بین لاله‌زار و فردوسی، خیابان پیرنیا، عمارت مشیرالدوله,Central Tehran / Manouchehri Street / Pirnia Street,35.688,51.4206,6,Lalehzar & Toopkhaneh,"1970s: Houses, families and concealed power",Homes & private worlds,Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/shatranj-baad/moshir-od-dowleh-filmstill.jpg,assets/images/locations/shatranj-baad/moshir-od-dowleh-current.jpg
loc_closeup_police_164_qaem,Police Station 164 Qaem,کلانتری ۱۶۴ قائم,Close-Up,Abbas Kiarostami,1990,Police station / former gendarmerie-related urban location,تهران، منطقه ۱، بزرگراه ارتش، ابتدای شهرک قائم، محدوده مینی‌سیتی,"District 1, Mini City / Shahrak-e Qaem / near Azgol",35.8029,51.5009,15,Northern Afterimages,1990s: Cinema reflects on reality and memory,Institutions & pressure,Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/closeup/azgol-gendarmerie-filmstill.jpg,assets/images/locations/closeup/police-164-qaem-current.jpg
loc_kamalolmolk_mirror_hall_golestan,"Mirror Hall, Golestan Palace",تالار آینه، کاخ گلستان,Kamalolmolk,Ali Hatami,1984,Historic palace hall / museum interior,"Mirror Hall, Golestan Palace, Panzdah-e Khordad Square, Arg district, Tehran, Iran",Historic center of Tehran / Arg district,35.6803413,51.4205793,11,Golestan Palace: Court & Spectacle,1980s: History staged through the palace,"Palace, art & spectacle",Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/kamalolmolk/mirror_hall_still_01.jpg,assets/images/locations/kamalolmolk/mirror_hall_current_01.jpg
loc_kamalolmolk_shamsol_emareh_golestan,"Shams-ol-Emareh, Golestan Palace",عمارت شمس‌العماره، کاخ گلستان,Kamalolmolk,Ali Hatami,1984,Historic palace facade / Qajar royal architecture,"Shams-ol-Emareh, Golestan Palace, Panzdah-e Khordad Square, Arg district, Tehran, Iran",Historic center of Tehran / Arg district,35.67972,51.42028,9,Golestan Palace: Court & Spectacle,1980s: History staged through the palace,"Palace, art & spectacle",Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/kamalolmolk/shamsol_emareh_still_01.jpg,assets/images/locations/kamalolmolk/shamsol_emareh_current_01.jpg
loc_kamalolmolk_emarat_badgir,"Emarat-e Badgir (Windcatcher Mansion), Golestan Palace",عمارت بادگیر، کاخ گلستان,Kamalolmolk,Ali Hatami,1984,Historic palace / royal courtyard building,کاخ گلستان، خیابان پانزده خرداد، محدوده ارگ، تهران، ایران,Arg district / Historic center of Tehran,35.6799,51.4207,10,Golestan Palace: Court & Spectacle,1980s: History staged through the palace,"Palace, art & spectacle",Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/kamalolmolk/emarat_badgir_still_01.jpg,assets/images/locations/kamalolmolk/emarat_badgir_current_01.jpg
loc_nasereddin_shah_mirror_hall_golestan,"Mirror Hall, Golestan Palace",تالار آینه، کاخ گلستان,"Once Upon a Time, Cinema",Mohsen Makhmalbaf,1992,Historic palace hall / Qajar royal interior,کاخ گلستان، خیابان پانزده خرداد، محدوده ارگ تهران، تهران، ایران,Arg district / Historic center of Tehran,35.6803413,51.4205793,12,Golestan Palace: Court & Spectacle,1990s: Cinema reflects on reality and memory,"Palace, art & spectacle",Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/nasereddin-shah/mirror-hall-still-01.jpg,assets/images/locations/nasereddin-shah/mirror-hall-current-01.jpg
loc_nasereddin_shah_khalvat_karimkhani,"Khalvat-e Karimkhani, Golestan Palace",خلوت کریمخانی، کاخ گلستان,"Once Upon a Time, Cinema",Mohsen Makhmalbaf,1992,Historic palace space / royal architectural courtyard,کاخ گلستان، خیابان پانزده خرداد، محدوده ارگ تهران، تهران، ایران,Arg district / Historic center of Tehran,35.6802537,51.4199001,13,Golestan Palace: Court & Spectacle,1990s: Cinema reflects on reality and memory,"Palace, art & spectacle",Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/nasereddin-shah/khalvat-karimkhani-still-01.jpg,assets/images/locations/nasereddin-shah/khalvat-karimkhani-current-01.jpg
loc_daeejan_napoleon_ettehadieh_house,Ettehadieh House / Amin-ol-Soltan House,خانه باغ اتحادیه / خانه امین‌السلطان,My Uncle Napoleon,Nasser Taghvai,1976,Historic house garden / Qajar residential mansion,تهران، خیابان لاله‌زار، انتهای کوچه اتحادیه,Lalehzar / Historic center of Tehran,35.690988,51.42185,5,Lalehzar & Toopkhaneh,"1970s: Houses, families and concealed power",Homes & private worlds,Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/daeejan-napoleon/ettehadieh-house-still-01.jpg,assets/images/locations/daeejan-napoleon/ettehadieh-house-current-01.jpg
loc_asabani_nistam_university_of_tehran_gate,University of Tehran Main Entrance Gate,سردر اصلی دانشگاه تهران,I'm Not Angry!,Reza Dormishian,2014,University entrance / modern urban landmark,تهران، خیابان انقلاب اسلامی، پردیس مرکزی دانشگاه تهران، سردر اصلی دانشگاه تهران,Enghelab Street / Central Tehran,35.700833,51.395833,1,Revolution Avenue & Ferdowsi,2000s–2010s: The contemporary city under pressure,Institutions & pressure,Verified Location,Field verification required — the supplied research does not state a reliable compass bearing.,assets/images/locations/asabani-nistam/university-of-tehran-gate-still-01.jpg,assets/images/locations/asabani-nistam/university-of-tehran-gate-current-01.jpg
